ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
45;18;2014;1;1;54.9;61.6;55.8;48.0;42.5;39.6;1.0;0.0;0.0;0.0
46;18;2014;1;1;72.4;66.0;56.2;49.0;43.1;41.2;0.0;1.0;0.0;0.0
47;18;2014;1;1;80.1;91.9;62.3;48.1;38.4;36.6;0.0;0.0;1.0;0.0
48;18;2014;1;1;75.7;82.8;56.8;47.9;41.0;37.2;0.0;0.0;0.0;1.0
145;18;2014;1;2;56.1;64.6;59.3;52.8;46.5;43.4;1.0;0.0;0.0;0.0
146;18;2014;1;2;54.9;62.4;57.9;51.8;45.2;41.0;0.0;1.0;0.0;0.0
147;18;2014;1;2;47.0;58.4;49.8;39.7;37.4;37.0;0.0;0.0;1.0;0.0
148;18;2014;1;2;54.3;63.2;58.0;49.7;38.3;37.1;0.0;0.0;0.0;1.0
245;18;2014;1;3;55.3;63.7;58.6;52.7;47.0;44.4;1.0;0.0;0.0;0.0
246;18;2014;1;3;57.5;65.4;60.7;54.9;48.8;45.1;0.0;1.0;0.0;0.0
247;18;2014;1;3;47.1;57.4;50.7;42.2;41.0;39.3;0.0;0.0;1.0;0.0
248;18;2014;1;3;54.6;63.7;58.2;50.8;41.7;40.4;0.0;0.0;0.0;1.0
345;18;2014;1;4;56.3;65.5;59.4;52.8;45.1;39.8;1.0;0.0;0.0;0.0
346;18;2014;1;4;54.5;63.8;57.5;51.2;44.9;42.0;0.0;1.0;0.0;0.0
347;18;2014;1;4;49.9;60.0;52.6;42.4;39.2;38.1;0.0;0.0;1.0;0.0
348;18;2014;1;4;54.6;64.3;58.0;49.6;40.3;38.4;0.0;0.0;0.0;1.0
445;18;2014;1;5;54.1;63.7;57.4;49.7;41.3;37.9;1.0;0.0;0.0;0.0
446;18;2014;1;5;55.6;63.9;58.8;53.2;46.0;41.9;0.0;1.0;0.0;0.0
447;18;2014;1;5;48.8;59.0;51.8;39.7;36.9;36.1;0.0;0.0;1.0;0.0
448;18;2014;1;5;53.3;62.9;56.8;47.6;37.8;36.3;0.0;0.0;0.0;1.0
545;18;2014;1;6;59.5;64.8;58.8;50.8;43.6;41.2;1.0;0.0;0.0;0.0
546;18;2014;1;6;57.0;64.0;58.2;52.4;46.0;42.4;0.0;1.0;0.0;0.0
547;18;2014;1;6;48.1;58.5;51.3;42.5;41.2;40.6;0.0;0.0;1.0;0.0
548;18;2014;1;6;57.4;63.7;57.6;48.2;41.6;41.1;0.0;0.0;0.0;1.0
645;18;2014;1;7;55.2;64.0;58.2;52.2;45.4;40.5;1.0;0.0;0.0;0.0
646;18;2014;1;7;57.7;63.8;58.1;52.3;45.3;42.8;0.0;1.0;0.0;0.0
647;18;2014;1;7;46.7;57.7;48.7;38.9;36.6;36.1;0.0;0.0;1.0;0.0
648;18;2014;1;7;54.5;63.0;57.1;49.2;37.5;36.2;0.0;0.0;0.0;1.0
745;18;2014;1;8;56.1;65.2;58.5;52.9;47.7;44.1;1.0;0.0;0.0;0.0
746;18;2014;1;8;55.6;62.8;57.6;52.7;48.2;46.2;0.0;1.0;0.0;0.0
747;18;2014;1;8;47.4;57.9;50.9;41.8;39.1;38.1;0.0;0.0;1.0;0.0
748;18;2014;1;8;54.6;63.6;57.3;50.7;40.3;38.4;0.0;0.0;0.0;1.0
845;18;2014;1;9;57.3;65.7;58.9;53.8;48.4;44.9;1.0;0.0;0.0;0.0
846;18;2014;1;9;58.2;64.0;58.1;53.0;49.2;48.0;0.0;1.0;0.0;0.0
847;18;2014;1;9;50.0;59.8;52.5;45.8;43.5;43.0;0.0;0.0;1.0;0.0
