ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
5;4;2014;1;1;67.3;72.4;67.0;63.2;59.5;56.2;1.0;0.0;0.0;0.0;1
6;4;2014;1;1;65.0;71.8;67.0;63.8;61.4;59.3;0.0;1.0;0.0;0.0;1
7;4;2014;1;1;77.3;88.1;72.8;65.7;59.6;52.5;0.0;0.0;1.0;0.0;1
8;4;2014;1;1;73.2;81.4;69.0;63.9;60.1;56.4;0.0;0.0;0.0;1.0;0
105;4;2014;1;2;67.4;72.8;69.5;66.4;63.6;61.1;1.0;0.0;0.0;0.0;1
106;4;2014;1;2;65.8;72.3;68.3;64.8;61.9;59.1;0.0;1.0;0.0;0.0;1
107;4;2014;1;2;60.7;68.9;64.3;58.0;51.8;47.1;0.0;0.0;1.0;0.0;2
108;4;2014;1;2;65.8;72.1;68.7;64.8;55.4;49.1;0.0;0.0;0.0;1.0;0
205;4;2014;1;3;66.9;74.3;68.9;65.8;63.0;60.3;1.0;0.0;0.0;0.0;1
206;4;2014;1;3;66.8;73.0;69.0;65.7;63.4;61.5;0.0;1.0;0.0;0.0;1
207;4;2014;1;3;61.6;69.6;64.7;59.2;53.2;48.8;0.0;0.0;1.0;0.0;2
208;4;2014;1;3;65.9;73.1;68.4;64.7;56.9;50.6;0.0;0.0;0.0;1.0;0
305;4;2014;1;4;66.5;74.2;68.9;65.0;60.6;56.8;1.0;0.0;0.0;0.0;1
306;4;2014;1;4;66.6;74.4;68.9;65.3;62.6;60.3;0.0;1.0;0.0;0.0;1
307;4;2014;1;4;64.1;71.6;66.4;62.0;57.6;53.3;0.0;0.0;1.0;0.0;2
308;4;2014;1;4;65.8;73.8;68.4;64.2;59.4;54.9;0.0;0.0;0.0;1.0;0
405;4;2014;1;5;65.3;73.3;67.1;63.5;59.4;54.0;1.0;0.0;0.0;0.0;1
406;4;2014;1;5;66.3;75.0;68.0;64.7;62.5;61.2;0.0;1.0;0.0;0.0;1
407;4;2014;1;5;64.1;73.4;66.5;61.9;57.6;53.6;0.0;0.0;1.0;0.0;1
408;4;2014;1;5;65.1;73.4;67.1;63.4;59.0;54.1;0.0;0.0;0.0;1.0;0
505;4;2014;1;6;64.7;71.5;67.0;63.6;59.7;55.8;1.0;0.0;0.0;0.0;1
506;4;2014;1;6;65.4;71.8;67.3;64.2;62.1;60.3;0.0;1.0;0.0;0.0;1
507;4;2014;1;6;63.1;70.1;66.0;61.5;56.3;51.6;0.0;0.0;1.0;0.0;2
508;4;2014;1;6;64.3;71.1;66.8;63.1;58.4;53.2;0.0;0.0;0.0;1.0;0
605;4;2014;1;7;66.9;73.7;69.0;65.7;62.9;60.5;1.0;0.0;0.0;0.0;1
606;4;2014;1;7;65.4;71.9;67.8;64.1;61.1;58.6;0.0;1.0;0.0;0.0;1
607;4;2014;1;7;61.0;68.8;63.9;57.8;50.5;44.9;0.0;0.0;1.0;0.0;2
608;4;2014;1;7;65.4;72.6;68.2;64.1;54.7;47.0;0.0;0.0;0.0;1.0;0
705;4;2014;1;8;66.7;73.2;68.9;65.7;63.0;60.9;1.0;0.0;0.0;0.0;1
706;4;2014;1;8;65.8;73.2;68.1;64.5;61.7;59.1;0.0;1.0;0.0;0.0;1
707;4;2014;1;8;61.5;69.5;64.5;58.6;52.0;46.6;0.0;0.0;1.0;0.0;2
708;4;2014;1;8;65.3;72.5;68.2;64.2;55.9;48.9;0.0;0.0;0.0;1.0;0
805;4;2014;1;9;67.1;74.6;69.2;66.0;63.0;61.0;1.0;0.0;0.0;0.0;1
806;4;2014;1;9;65.8;73.6;68.0;64.5;61.7;59.5;0.0;1.0;0.0;0.0;1
807;4;2014;1;9;61.3;69.3;64.5;59.4;53.5;49.1;0.0;0.0;1.0;0.0;2
808;4;2014;1;9;65.7;73.3;68.5;64.4;57.1;51.1;0.0;0.0;0.0;1.0;0
905;4;2014;1;10;66.6;73.1;69.0;65.5;62.8;60.8;1.0;0.0;0.0;0.0;1
906;4;2014;1;10;68.8;76.4;71.3;67.2;64.2;62.1;0.0;1.0;0.0;0.0;1
907;4;2014;1;10;63.2;71.8;65.7;60.9;54.8;50.0;0.0;0.0;1.0;0.0;2
908;4;2014;1;10;66.3;74.1;69.0;64.8;58.9;51.8;0.0;0.0;0.0;1.0;0
1005;4;2014;1;11;65.6;71.9;67.9;64.6;61.5;56.4;1.0;0.0;0.0;0.0;1
1006;4;2014;1;11;68.3;76.1;70.3;66.8;64.8;63.3;0.0;1.0;0.0;0.0;1
1007;4;2014;1;11;64.3;72.3;66.4;62.6;58.5;54.9;0.0;0.0;1.0;0.0;1
1008;4;2014;1;11;65.9;73.6;68.3;64.6;60.3;55.8;0.0;0.0;0.0;1.0;0
1105;4;2014;1;12;65.1;72.6;67.4;63.9;60.5;55.2;1.0;0.0;0.0;0.0;1
1106;4;2014;1;12;65.1;71.8;67.0;64.0;62.0;59.9;0.0;1.0;0.0;0.0;1
1107;4;2014;1;12;65.8;73.6;67.4;63.5;59.5;55.7;0.0;0.0;1.0;0.0;1
1108;4;2014;1;12;65.2;72.6;67.2;63.7;60.1;55.6;0.0;0.0;0.0;1.0;0
1205;4;2014;1;13;67.3;73.9;69.4;65.8;63.1;61.0;1.0;0.0;0.0;0.0;1
1206;4;2014;1;13;65.7;72.8;67.8;64.4;61.5;58.8;0.0;1.0;0.0;0.0;1
1207;4;2014;1;13;61.7;69.6;65.1;59.4;52.7;47.2;0.0;0.0;1.0;0.0;2
1208;4;2014;1;13;65.8;72.8;68.5;64.3;56.6;49.1;0.0;0.0;0.0;1.0;0
1305;4;2014;1;14;67.7;74.5;70.5;66.3;63.5;61.2;1.0;0.0;0.0;0.0;1
1306;4;2014;1;14;65.6;71.7;67.9;64.6;61.7;59.3;0.0;1.0;0.0;0.0;1
