ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
21;11;2014;1;1;68.0;74.8;71.6;65.2;57.0;51.7;1.0;0.0;0.0;0.0
22;11;2014;1;1;68.8;74.9;72.2;67.6;60.5;55.4;0.0;1.0;0.0;0.0
23;11;2014;1;1;68.7;76.6;71.1;63.6;53.0;43.8;0.0;0.0;1.0;0.0
24;11;2014;1;1;68.4;75.1;71.7;65.4;56.8;51.2;0.0;0.0;0.0;1.0
121;11;2014;1;2;72.0;76.5;74.4;71.4;66.6;61.6;1.0;0.0;0.0;0.0
122;11;2014;1;2;70.7;75.6;73.5;69.9;63.5;58.7;0.0;1.0;0.0;0.0
123;11;2014;1;2;62.8;72.8;67.4;55.2;43.6;40.2;0.0;0.0;1.0;0.0
124;11;2014;1;2;70.2;75.9;73.7;69.1;49.5;41.3;0.0;0.0;0.0;1.0
221;11;2014;1;3;71.4;76.0;73.6;70.5;66.0;60.3;1.0;0.0;0.0;0.0
222;11;2014;1;3;71.9;76.3;74.2;71.2;65.7;61.1;0.0;1.0;0.0;0.0
223;11;2014;1;3;64.0;72.8;68.4;59.6;51.2;46.2;0.0;0.0;1.0;0.0
224;11;2014;1;3;70.2;75.8;73.3;69.1;56.1;48.1;0.0;0.0;0.0;1.0
321;11;2014;1;4;70.6;76.6;73.9;69.1;60.7;54.5;1.0;0.0;0.0;0.0
322;11;2014;1;4;70.3;75.7;72.9;69.1;62.8;58.5;0.0;1.0;0.0;0.0
323;11;2014;1;4;66.7;74.0;70.7;63.4;55.3;49.4;0.0;0.0;1.0;0.0
324;11;2014;1;4;69.5;76.0;73.1;67.4;58.2;51.7;0.0;0.0;0.0;1.0
421;11;2014;1;5;69.3;75.4;72.0;66.9;58.2;51.6;1.0;0.0;0.0;0.0
422;11;2014;1;5;70.2;75.6;72.9;69.0;62.2;57.5;0.0;1.0;0.0;0.0
423;11;2014;1;5;66.1;74.0;70.1;62.0;52.2;45.5;0.0;0.0;1.0;0.0
424;11;2014;1;5;68.7;75.0;71.9;66.1;55.9;47.8;0.0;0.0;0.0;1.0
521;11;2014;1;6;68.7;75.2;72.2;67.0;57.9;50.5;1.0;0.0;0.0;0.0
522;11;2014;1;6;68.8;75.0;72.3;67.4;61.2;56.4;0.0;1.0;0.0;0.0
523;11;2014;1;6;65.7;73.9;70.0;61.2;50.8;43.8;0.0;0.0;1.0;0.0
524;11;2014;1;6;67.9;74.9;71.7;65.6;55.0;46.0;0.0;0.0;0.0;1.0
621;11;2014;1;7;70.8;76.3;73.2;69.7;65.5;60.9;1.0;0.0;0.0;0.0
