ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
35433;2;2015;1;2;70.7;78.4;72.2;69.2;66.0;63.2;1.0;0.0;0.0;0.0;2
35434;2;2015;1;2;70.5;78.4;71.5;68.9;65.9;62.8;0.0;1.0;0.0;0.0;2
35435;2;2015;1;2;66.4;73.4;69.3;63.5;56.8;52.5;0.0;0.0;1.0;0.0;1
35436;2;2015;1;2;69.7;77.8;71.6;68.3;60.8;53.9;0.0;0.0;0.0;1.0;0
35557;2;2015;1;3;69.9;76.2;71.4;68.6;64.1;60.6;1.0;0.0;0.0;0.0;2
35558;2;2015;1;3;71.2;78.4;71.3;68.8;66.1;62.6;0.0;1.0;0.0;0.0;2
35559;2;2015;1;3;69.5;79.8;70.7;66.4;61.5;58.5;0.0;0.0;1.0;0.0;2
35560;2;2015;1;3;70.0;78.1;71.2;68.1;63.1;59.3;0.0;0.0;0.0;1.0;0
35681;2;2015;1;4;69.2;76.1;70.9;67.9;63.0;59.5;1.0;0.0;0.0;0.0;2
35682;2;2015;1;4;69.3;74.9;71.0;68.5;64.9;61.3;0.0;1.0;0.0;0.0;2
35683;2;2015;1;4;67.9;73.9;70.2;66.3;61.4;57.9;0.0;0.0;1.0;0.0;1
35684;2;2015;1;4;68.8;75.2;70.7;67.6;62.5;58.8;0.0;0.0;0.0;1.0;0
35802;2;2015;1;5;69.5;76.8;71.5;67.0;61.0;55.1;0.0;0.0;0.0;1.0;0
35911;2;2015;1;6;68.4;74.4;70.6;67.1;61.7;58.0;1.0;0.0;0.0;0.0;2
35912;2;2015;1;6;69.5;74.1;71.2;68.7;65.2;62.0;0.0;1.0;0.0;0.0;2
35913;2;2015;1;6;67.6;74.2;70.0;65.7;60.6;57.5;0.0;0.0;1.0;0.0;1
35914;2;2015;1;6;68.3;74.2;70.6;67.0;61.6;57.8;0.0;0.0;0.0;1.0;0
36035;2;2015;1;7;71.3;77.8;72.6;70.0;66.7;63.4;1.0;0.0;0.0;0.0;2
36036;2;2015;1;7;70.9;77.4;71.9;69.1;65.2;62.0;0.0;1.0;0.0;0.0;2
36037;2;2015;1;7;66.1;73.0;69.6;63.5;56.3;51.5;0.0;0.0;1.0;0.0;1
36038;2;2015;1;7;70.3;76.8;72.0;68.8;60.5;53.4;0.0;0.0;0.0;1.0;0
36159;2;2015;1;8;71.2;77.4;72.8;69.9;66.6;63.6;1.0;0.0;0.0;0.0;2
36160;2;2015;1;8;69.6;74.7;71.3;68.6;65.2;61.8;0.0;1.0;0.0;0.0;2
36161;2;2015;1;8;67.9;74.1;70.3;64.0;57.6;53.1;0.0;0.0;1.0;0.0;1
36162;2;2015;1;8;69.9;76.2;72.0;68.6;61.4;55.0;0.0;0.0;0.0;1.0;0
36283;2;2015;1;9;71.1;77.2;72.8;70.0;66.5;62.9;1.0;0.0;0.0;0.0;2
36284;2;2015;1;9;70.2;76.2;72.0;69.6;66.3;62.6;0.0;1.0;0.0;0.0;2
36285;2;2015;1;9;67.4;74.2;69.9;64.7;58.5;54.4;0.0;0.0;1.0;0.0;1
36286;2;2015;1;9;70.0;76.4;72.1;68.9;62.0;55.9;0.0;0.0;0.0;1.0;0
36407;2;2015;1;10;70.2;77.2;71.8;68.7;64.0;60.7;1.0;0.0;0.0;0.0;2
