ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
49;19;2014;1;1;59.8;68.1;63.4;57.1;49.1;44.0;1.0;0.0;0.0;0.0
50;19;2014;1;1;60.2;68.1;63.4;58.0;53.4;50.5;0.0;1.0;0.0;0.0
51;19;2014;1;1;74.4;76.0;65.4;57.9;51.0;44.7;0.0;0.0;1.0;0.0
52;19;2014;1;1;67.6;70.4;63.9;57.5;50.7;45.0;0.0;0.0;0.0;1.0
149;19;2014;1;2;63.7;71.0;67.1;61.7;57.3;54.3;1.0;0.0;0.0;0.0
150;19;2014;1;2;61.9;69.7;65.1;59.9;55.9;53.1;0.0;1.0;0.0;0.0
151;19;2014;1;2;56.6;67.3;60.2;50.8;42.8;38.2;0.0;0.0;1.0;0.0
152;19;2014;1;2;62.3;70.4;65.8;59.4;47.3;40.4;0.0;0.0;0.0;1.0
249;19;2014;1;3;63.9;70.9;66.2;61.1;56.8;54.1;1.0;0.0;0.0;0.0
250;19;2014;1;3;64.3;70.7;66.5;61.1;56.1;52.8;0.0;1.0;0.0;0.0
251;19;2014;1;3;59.4;67.9;61.1;52.9;45.5;41.6;0.0;0.0;1.0;0.0
252;19;2014;1;3;62.7;70.4;65.5;59.5;49.8;43.1;0.0;0.0;0.0;1.0
349;19;2014;1;4;64.9;72.8;66.9;61.5;55.1;51.0;1.0;0.0;0.0;0.0
350;19;2014;1;4;61.8;68.7;64.7;60.1;56.5;54.1;0.0;1.0;0.0;0.0
351;19;2014;1;4;58.7;68.6;62.4;54.5;49.8;47.2;0.0;0.0;1.0;0.0
352;19;2014;1;4;63.1;70.8;65.6;59.5;51.9;48.2;0.0;0.0;0.0;1.0
449;19;2014;1;5;60.8;69.6;63.8;58.2;52.4;47.0;1.0;0.0;0.0;0.0
450;19;2014;1;5;61.1;68.9;64.4;58.9;54.2;51.3;0.0;1.0;0.0;0.0
451;19;2014;1;5;58.5;68.0;62.1;54.2;46.7;43.1;0.0;0.0;1.0;0.0
452;19;2014;1;5;60.3;69.1;63.6;57.4;49.7;44.4;0.0;0.0;0.0;1.0
549;19;2014;1;6;61.2;69.9;63.5;57.8;50.4;45.0;1.0;0.0;0.0;0.0
550;19;2014;1;6;61.4;69.7;63.8;58.3;53.4;49.5;0.0;1.0;0.0;0.0
551;19;2014;1;6;57.9;68.2;61.5;52.9;44.7;39.8;0.0;0.0;1.0;0.0
552;19;2014;1;6;60.3;69.4;63.0;56.6;47.7;41.7;0.0;0.0;0.0;1.0
649;19;2014;1;7;62.0;70.3;65.3;59.6;54.9;51.7;1.0;0.0;0.0;0.0
650;19;2014;1;7;61.6;69.4;64.3;58.6;52.9;47.7;0.0;1.0;0.0;0.0
651;19;2014;1;7;56.0;66.2;60.1;50.0;39.3;32.9;0.0;0.0;1.0;0.0
652;19;2014;1;7;60.7;69.5;64.1;57.6;45.1;35.4;0.0;0.0;0.0;1.0
749;19;2014;1;8;63.0;70.0;65.5;60.4;56.1;53.1;1.0;0.0;0.0;0.0
750;19;2014;1;8;62.8;69.5;64.0;58.7;53.8;49.8;0.0;1.0;0.0;0.0
751;19;2014;1;8;55.3;65.6;59.0;49.4;39.7;35.0;0.0;0.0;1.0;0.0
752;19;2014;1;8;61.5;69.4;64.2;58.2;45.3;36.6;0.0;0.0;0.0;1.0
849;19;2014;1;9;64.1;70.7;65.8;60.4;56.1;53.3;1.0;0.0;0.0;0.0
850;19;2014;1;9;61.7;69.7;64.3;58.7;53.9;50.5;0.0;1.0;0.0;0.0
851;19;2014;1;9;55.6;66.3;59.0;50.2;40.5;36.4;0.0;0.0;1.0;0.0
852;19;2014;1;9;62.2;69.9;64.5;58.2;46.2;37.9;0.0;0.0;0.0;1.0
949;19;2014;1;10;62.8;70.0;65.6;60.3;56.0;53.1;1.0;0.0;0.0;0.0
950;19;2014;1;10;62.0;69.7;64.3;59.1;54.7;51.1;0.0;1.0;0.0;0.0
951;19;2014;1;10;56.1;66.4;59.7;51.6;43.2;38.6;0.0;0.0;1.0;0.0
952;19;2014;1;10;61.4;69.5;64.5;58.4;48.0;40.3;0.0;0.0;0.0;1.0
1049;19;2014;1;11;61.7;69.4;64.1;58.6;52.8;47.5;1.0;0.0;0.0;0.0
1050;19;2014;1;11;62.3;69.5;64.1;59.2;55.0;52.3;0.0;1.0;0.0;0.0
1051;19;2014;1;11;57.7;68.0;60.8;53.2;45.5;39.8;0.0;0.0;1.0;0.0
1052;19;2014;1;11;60.8;69.0;63.5;57.4;49.5;42.0;0.0;0.0;0.0;1.0
1149;19;2014;1;12;60.3;68.9;63.6;57.5;50.4;43.9;1.0;0.0;0.0;0.0
1150;19;2014;1;12;59.5;67.7;62.9;57.0;51.9;48.3;0.0;1.0;0.0;0.0
1151;19;2014;1;12;58.7;68.4;62.2;54.6;47.3;43.3;0.0;0.0;1.0;0.0
1152;19;2014;1;12;59.7;68.6;63.1;56.6;49.1;43.8;0.0;0.0;0.0;1.0
1249;19;2014;1;13;63.3;70.9;66.0;61.1;57.2;54.4;1.0;0.0;0.0;0.0
1250;19;2014;1;13;61.0;69.4;64.3;58.7;53.8;50.4;0.0;1.0;0.0;0.0
1251;19;2014;1;13;56.9;67.3;60.6;51.9;43.2;38.5;0.0;0.0;1.0;0.0
1252;19;2014;1;13;61.6;70.0;64.8;59.0;48.1;40.3;0.0;0.0;0.0;1.0
1349;19;2014;1;14;63.4;70.5;65.9;61.2;57.3;54.4;1.0;0.0;0.0;0.0
1350;19;2014;1;14;62.5;69.2;64.4;59.2;54.2;49.1;0.0;1.0;0.0;0.0
1351;19;2014;1;14;55.7;66.6;59.1;50.1;42.3;38.5;0.0;0.0;1.0;0.0
1352;19;2014;1;14;61.8;69.7;64.7;59.0;46.6;40.0;0.0;0.0;0.0;1.0
1449;19;2014;1;15;62.5;70.1;65.7;60.6;56.2;52.9;1.0;0.0;0.0;0.0
1450;19;2014;1;15;60.7;68.9;63.8;58.4;53.3;49.3;0.0;1.0;0.0;0.0
1451;19;2014;1;15;55.5;66.0;59.3;50.3;40.9;36.5;0.0;0.0;1.0;0.0
1452;19;2014;1;15;60.8;69.5;64.4;58.2;45.8;38.3;0.0;0.0;0.0;1.0
1549;19;2014;1;16;63.5;70.5;66.1;61.4;57.3;54.9;1.0;0.0;0.0;0.0
1550;19;2014;1;16;62.9;69.6;64.5;59.3;54.8;51.4;0.0;1.0;0.0;0.0
1551;19;2014;1;16;56.8;67.4;60.3;51.3;43.2;39.4;0.0;0.0;1.0;0.0
1552;19;2014;1;16;62.1;69.8;65.0;59.3;47.9;41.0;0.0;0.0;0.0;1.0
1649;19;2014;1;17;63.0;70.4;65.7;60.7;56.2;53.1;1.0;0.0;0.0;0.0
1650;19;2014;1;17;61.6;69.0;64.6;59.4;54.7;50.2;0.0;1.0;0.0;0.0
1651;19;2014;1;17;55.9;65.7;59.8;51.5;42.3;37.7;0.0;0.0;1.0;0.0
1652;19;2014;1;17;61.4;69.5;64.6;58.7;47.8;39.4;0.0;0.0;0.0;1.0
1749;19;2014;1;18;62.0;69.6;64.8;59.6;54.0;49.4;1.0;0.0;0.0;0.0
1750;19;2014;1;18;61.3;68.7;64.5;59.6;55.5;52.1;0.0;1.0;0.0;0.0
1751;19;2014;1;18;59.0;69.1;62.5;54.7;48.8;45.9;0.0;0.0;1.0;0.0
1752;19;2014;1;18;61.0;69.3;64.2;58.4;51.4;46.9;0.0;0.0;0.0;1.0
1849;19;2014;1;19;61.2;69.3;64.5;59.2;53.0;46.3;1.0;0.0;0.0;0.0
1850;19;2014;1;19;60.4;68.2;63.6;58.1;53.4;50.3;0.0;1.0;0.0;0.0
1851;19;2014;1;19;57.6;67.1;60.9;54.3;47.7;43.7;0.0;0.0;1.0;0.0
1852;19;2014;1;19;60.2;68.7;63.6;57.6;50.4;44.8;0.0;0.0;0.0;1.0
1949;19;2014;1;20;63.1;70.1;65.6;60.7;56.6;54.0;1.0;0.0;0.0;0.0
1950;19;2014;1;20;61.9;69.3;64.2;58.9;53.7;50.1;0.0;1.0;0.0;0.0
1951;19;2014;1;20;56.1;66.6;59.7;50.7;39.2;33.7;0.0;0.0;1.0;0.0
1952;19;2014;1;20;61.4;69.5;64.5;58.5;45.7;35.6;0.0;0.0;0.0;1.0
2049;19;2014;1;21;63.2;70.0;65.8;60.7;56.6;53.8;1.0;0.0;0.0;0.0
2050;19;2014;1;21;61.9;69.6;65.3;59.9;55.6;52.3;0.0;1.0;0.0;0.0
2051;19;2014;1;21;56.2;66.6;59.7;50.4;40.1;35.0;0.0;0.0;1.0;0.0
2052;19;2014;1;21;61.6;69.5;64.8;58.9;46.2;37.1;0.0;0.0;0.0;1.0
2149;19;2014;1;22;63.3;70.3;65.8;61.0;57.1;54.3;1.0;0.0;0.0;0.0
2150;19;2014;1;22;62.2;69.1;64.4;59.0;53.9;50.2;0.0;1.0;0.0;0.0
2151;19;2014;1;22;57.3;67.3;61.1;52.7;43.1;39.0;0.0;0.0;1.0;0.0
2152;19;2014;1;22;61.8;69.5;64.7;59.0;48.1;40.5;0.0;0.0;0.0;1.0
2249;19;2014;1;23;63.3;71.2;66.0;60.8;56.4;53.1;1.0;0.0;0.0;0.0
2250;19;2014;1;23;62.9;69.8;64.7;59.1;54.5;51.2;0.0;1.0;0.0;0.0
2251;19;2014;1;23;56.7;67.0;60.7;51.8;41.2;34.4;0.0;0.0;1.0;0.0
2252;19;2014;1;23;61.9;70.2;64.9;58.9;48.0;37.2;0.0;0.0;0.0;1.0
2349;19;2014;1;24;63.3;70.5;65.8;60.8;56.6;53.3;1.0;0.0;0.0;0.0
2350;19;2014;1;24;62.0;69.2;64.8;60.0;56.1;53.1;0.0;1.0;0.0;0.0
2351;19;2014;1;24;56.8;67.0;60.6;52.2;43.7;38.6;0.0;0.0;1.0;0.0
2352;19;2014;1;24;61.7;69.7;64.8;59.0;48.4;40.5;0.0;0.0;0.0;1.0
2449;19;2014;1;25;61.6;69.3;64.1;59.0;54.0;49.0;1.0;0.0;0.0;0.0
2450;19;2014;1;25;60.5;68.4;63.7;58.6;54.4;51.8;0.0;1.0;0.0;0.0
2451;19;2014;1;25;57.7;67.8;60.9;53.6;46.4;41.4;0.0;0.0;1.0;0.0
2452;19;2014;1;25;60.4;68.8;63.4;57.6;50.3;43.5;0.0;0.0;0.0;1.0
2549;19;2014;1;26;60.7;68.5;63.4;57.9;52.0;47.7;1.0;0.0;0.0;0.0
2550;19;2014;1;26;59.6;68.1;62.8;57.4;52.8;47.6;0.0;1.0;0.0;0.0
2551;19;2014;1;26;58.4;68.4;62.0;54.5;48.3;44.8;0.0;0.0;1.0;0.0
2552;19;2014;1;26;59.8;68.4;62.9;56.8;49.9;45.6;0.0;0.0;0.0;1.0
2649;19;2014;1;27;62.5;69.8;65.5;60.7;56.9;54.3;1.0;0.0;0.0;0.0
2650;19;2014;1;27;65.0;69.6;64.1;58.8;54.2;50.7;0.0;1.0;0.0;0.0
2651;19;2014;1;27;55.5;66.3;58.9;50.2;41.0;36.8;0.0;0.0;1.0;0.0
